5 Parameters: [Topology: [400, 1, 1], Functions: Sigmoid, Sigmoid, LR: 0,0010, Momentum: 0,95] -> Accuracy: 98,38%
5 Parameters: [Topology: [400, 1, 1], Functions: Sigmoid, Sigmoid, LR: 0,0100, Momentum: 0,70] -> Accuracy: 97,25%
5 Parameters: [Topology: [400, 1, 1], Functions: Sigmoid, Sigmoid, LR: 0,0050, Momentum: 0,80] -> Accuracy: 98,50%
5 Parameters: [Topology: [400, 1, 1], Functions: Sigmoid, Sigmoid, LR: 0,0050, Momentum: 0,90] -> Accuracy: 98,75%
5 Parameters: [Topology: [400, 1, 1], Functions: Sigmoid, Sigmoid, LR: 0,0050, Momentum: 0,60] -> Accuracy: 96,75%
5 Parameters: [Topology: [400, 1, 1], Functions: Sigmoid, Sigmoid, LR: 0,0010, Momentum: 0,90] -> Accuracy: 96,38%
5 Parameters: [Topology: [400, 1, 1], Functions: Sigmoid, Sigmoid, LR: 0,0100, Momentum: 0,80] -> Accuracy: 98,50%
5 Parameters: [Topology: [400, 1, 1], Functions: Sigmoid, Sigmoid, LR: 0,0050, Momentum: 0,70] -> Accuracy: 97,38%
5 Parameters: [Topology: [400, 1, 1], Functions: Sigmoid, Sigmoid, LR: 0,0100, Momentum: 0,60] -> Accuracy: 96,88%
5 Parameters: [Topology: [400, 1, 1], Functions: Sigmoid, Sigmoid, LR: 0,0100, Momentum: 0,90] -> Accuracy: 99,00%
5 Parameters: [Topology: [400, 1, 1], Functions: Sigmoid, Sigmoid, LR: 0,0050, Momentum: 0,95] -> Accuracy: 98,75%
5 Parameters: [Topology: [400, 1, 1], Functions: Sigmoid, Sigmoid, LR: 0,0010, Momentum: 0,99] -> Accuracy: 98,75%
5 Parameters: [Topology: [400, 1, 1], Functions: Sigmoid, Sigmoid, LR: 0,0020, Momentum: 0,95] -> Accuracy: 98,75%
5 Parameters: [Topology: [400, 1, 1], Functions: Sigmoid, Sigmoid, LR: 0,0020, Momentum: 0,90] -> Accuracy: 98,38%
5 Parameters: [Topology: [400, 1, 1], Functions: Sigmoid, Sigmoid, LR: 0,0020, Momentum: 0,80] -> Accuracy: 96,38%
